country,city,aqi_value,aqi_category,co_aqi,co_category,ozone_aqi,ozone_category,no2_aqi,no2_category,pm25_aqi,pm25_category
Russian Federation,Praskoveya,51.00,Moderate,1.00,Good,36.00,Good,0.00,Good,51.00,Moderate
Brazil,Presidente Dutra,41.00,Good,1.00,Good,5.00,Good,1.00,Good,41.00,Good
Italy,Priolo Gargallo,66.00,Moderate,1.00,Good,39.00,Good,2.00,Good,66.00,Moderate
Poland,Przasnysz,34.00,Good,1.00,Good,34.00,Good,0.00,Good,20.00,Good
France,Punaauia,22.00,Good,0.00,Good,22.00,Good,0.00,Good,6.00,Good
United States of America,Punta Gorda,54.00,Moderate,1.00,Good,14.00,Good,11.00,Good,54.00,Moderate
Germany,Puttlingen,62.00,Moderate,1.00,Good,35.00,Good,3.00,Good,62.00,Moderate
Belgium,Puurs,64.00,Moderate,1.00,Good,29.00,Good,7.00,Good,64.00,Moderate
Russian Federation,Pyatigorsk,54.00,Moderate,1.00,Good,41.00,Good,1.00,Good,54.00,Moderate
Egypt,Qalyub,142.00,Unhealthy for Sensitive Groups,3.00,Good,89.00,Moderate,9.00,Good,142.00,Unhealthy for Sensitive Groups
China,Qinzhou,68.00,Moderate,2.00,Good,68.00,Moderate,1.00,Good,58.00,Moderate
Netherlands,Raalte,41.00,Good,1.00,Good,24.00,Good,6.00,Good,41.00,Good
India,Radaur,158.00,Unhealthy,3.00,Good,139.00,Unhealthy for Sensitive Groups,1.00,Good,158.00,Unhealthy
Pakistan,Radhan,158.00,Unhealthy,1.00,Good,50.00,Good,1.00,Good,158.00,Unhealthy
Republic of North Macedonia,Radovis,83.00,Moderate,1.00,Good,46.00,Good,0.00,Good,83.00,Moderate
France,Raismes,59.00,Moderate,1.00,Good,30.00,Good,4.00,Good,59.00,Moderate
India,Rajgir,154.00,Unhealthy,3.00,Good,100.00,Unhealthy for Sensitive Groups,2.00,Good,154.00,Unhealthy
Italy,Ramacca,55.00,Moderate,1.00,Good,47.00,Good,0.00,Good,55.00,Moderate
United States of America,Phoenix,72.00,Moderate,1.00,Good,4.00,Good,23.00,Good,72.00,Moderate
India,Phulabani,161.00,Unhealthy,2.00,Good,71.00,Moderate,0.00,Good,161.00,Unhealthy
Poland,Piaseczno,28.00,Good,1.00,Good,28.00,Good,2.00,Good,28.00,Good
India,Pimpri,118.00,Unhealthy for Sensitive Groups,2.00,Good,30.00,Good,2.00,Good,118.00,Unhealthy for Sensitive Groups
Brazil,Pindobacu,33.00,Good,0.00,Good,10.00,Good,1.00,Good,33.00,Good
China,Pingyin,150.00,Unhealthy,3.00,Good,95.00,Moderate,6.00,Good,150.00,Unhealthy
Brazil,Pinheiral,154.00,Unhealthy,5.00,Good,0.00,Good,13.00,Good,154.00,Unhealthy
India,Piravam,81.00,Moderate,1.00,Good,24.00,Good,1.00,Good,81.00,Moderate
Colombia,Plato,67.00,Moderate,1.00,Good,16.00,Good,2.00,Good,67.00,Moderate
Romania,Poiana Mare,62.00,Moderate,1.00,Good,37.00,Good,1.00,Good,62.00,Moderate
Russian Federation,Polevskoy,31.00,Good,1.00,Good,31.00,Good,0.00,Good,17.00,Good
France,Pontarlier,56.00,Moderate,1.00,Good,35.00,Good,0.00,Good,56.00,Moderate
United States of America,Pontiac,77.00,Moderate,2.00,Good,22.00,Good,15.00,Good,77.00,Moderate
Indonesia,Pontianak,44.00,Good,1.00,Good,15.00,Good,0.00,Good,44.00,Good
Brazil,Porecatu,30.00,Good,1.00,Good,9.00,Good,2.00,Good,30.00,Good
Finland,Pori,30.00,Good,1.00,Good,30.00,Good,1.00,Good,15.00,Good
South Africa,Port Elizabeth,79.00,Moderate,3.00,Good,18.00,Good,5.00,Good,79.00,Moderate
United States of America,Port Neches,34.00,Good,1.00,Good,19.00,Good,7.00,Good,34.00,Good
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51.00,Moderate,1.00,Good,20.00,Good,5.00,Good,51.00,Moderate
United States of America,Portales,77.00,Moderate,1.00,Good,34.00,Good,0.00,Good,77.00,Moderate
United States of America,Post Falls,61.00,Moderate,1.00,Good,32.00,Good,3.00,Good,61.00,Moderate
Brazil,Pouso Alegre,32.00,Good,1.00,Good,7.00,Good,2.00,Good,32.00,Good
China,Dalinghe,64.00,Moderate,3.00,Good,64.00,Moderate,4.00,Good,64.00,Moderate
